label,smarts,count
O[B]([R])O[Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#8]-[#5](-[#8])-[#0:3])-[#0:4],42
O=S1(=O)C=CC([N]([R])[R])=N1,[#6H]1=[#6H]-[#16](=[#8])(=[#8])-[#7]=[#6]-1-[#7](-[#0:1])-[#0:2],42
C=C(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],[#8]=[#6](-[#7](-[#0:1])-[#0:3])-[#6](=[#6H])-[#7](-[#6](=[#8])-[#0:2])-[#0:4],41
O=[S]([R])([R])=[N][R],[#0:1]-[#16](-[#0:2])(=[#7]-[#0:3])=[#8],41
O=[C]1[R][N]([R])C[N]1[R],[#0:1]-[#7]1-[#0:2]-[#6](=[#8])-[#7](-[#0:3])-[#6]-1,41
ON=C[N]([R])[R],[#0:1]-[#7](/[#6H]=[#7]/[#8])-[#0:2],41
O=[C]([R])[N]([R])S(=O)(=O)[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#16](=[#8])(=[#8])-[#7](-[#0:2])-[#0:3])-[#0:4],40
C=C[O][R],[#6H](=[#6H])-[#8]-[#0:1],39
C=CC=N[N]([R])[C](=O)[R],[#6H]=[#6]/[#6]=[#7]/[#7](-[#6](=[#8])-[#0:1])-[#0:2],38
[R][O]COC[O][R],[#6H2](-[#8]-[#6H2]-[#8]-[#0:1])-[#8]-[#0:2],37
O=[C]1[R][N]([R])C(=O)N1C[N]([R])[R],[#0:1]1-[#7](-[#6](=[#8])-[#7](-[#6]-[#7](-[#0:2])-[#0:3])-[#6]-1=[#8])-[#0:4],37
O=C(C=C[O][R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6H]=[#6]-[#8]-[#0:2])-[#0:3],37
O=C(C1=N[N]([R])[C](=O)[R][N]1[R])[N]([R])[R],[#0:1]1-[#7](-[#6](-[#6](=[#8])-[#7](-[#0:2])-[#0:3])=[#7]-[#7](-[#0:4])-[#6]-1=[#8])-[#0:5],36
O=[S](=O)([R])N=[S](=O)([R])[R],[#0:1]-[#16](=[#8])(=[#7]-[#16](=[#8])(=[#8])-[#0:2])-[#0:3],36
O=[C]([Nar])[N]([R])[R],[#7]-[#6](=[#8])-[#7](-[#0:1])-[#0:2],36
C=CO[C](=O)[R],[#6]=[#6]-[#8]-[#6](=[#8])-[#0:1],35
O=[N+]([O-])[N]([R])C(=[N][R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#7]-[#0:3])-[#7](-[#7+](=[#8])-[#8-])-[#0:4])-[#0:2],35
O=C(C=C[N]([R])C=CC(=O)[O][R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#6H]=[#6H]-[#6](=[#8])-[#8]-[#0:2])-[#0:3],33
O=[S](=O)([R])[O][Na],[#0:1]-[#16](=[#8])(=[#8])-[#8]-[Na],33
O=C(O)C=C[C](=O)[R],[#6H](=[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#0:1],33
N#C[N]([R])[R],[#0:1]-[#7](-[#6]#[#7])-[#0:2],33
C=C1SC(=[N][R])[N]([R])C1=O,[#6H]=[#6]1-[#16]-[#6](=[#7]-[#0:1])-[#7](-[#6]-1=[#8])-[#0:2],33
O=[C]([R])C=C[C](=O)[R],[#6H](=[#6]-[#6](=[#8])-[#0:1])-[#6](-[#0:2])=[#8],32
C=CC=CC(=O)[O][R],[#6H2]=[#6]-[#6]=[#6H]-[#6](=[#8])-[#8]-[#0:1],32
C=C([S][R])[S][R],[#6H2]=[#6](-[#16]-[#0:1])-[#16]-[#0:2],32
O=[C]([R])[C](=O)[R],[#8]=[#6](-[#6](=[#8])-[#0:1])-[#0:2],32
O=C(C([S][R])[N]([R])[C](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6H](-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#16]-[#0:4])-[#0:5],32
O=[S]([R])N=[S](=O)([R])[R],[#0:1]-[#16](-[#0:2])(=[#8])=[#7]-[#16](=[#8])-[#0:3],32
C=CBr,[#6H]=[#6]-[#35],31
O=C([O][R])[N]([R])C[N]([R])[R],[#0:1]-[#7](-[#6]-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#0:3])-[#0:4],31
O[B](O)[R],[#0:1]-[#5](-[#8])-[#8],31
O=[C]([R])[N]([R])C(=O)[O][R],[#0:2]-[#6](=[#8])-[#7](-[#6](=[#8])-[#8]-[#0:3])-[#0:1],30
C=CC=CC=C,[#6H]=[#6]/[#6]=[#6]/[#6]=[#6H2],30
[R][N]([R])C=CC=CC=CC=[N+]([R])[R],[#0:1]-[#7+](=[#6H]-[#6]=[#6]-[#6]=[#6]-[#6]=[#6H]-[#7](-[#0:2])-[#0:3])-[#0:4],30
C=C=C,[#6]=[#6]=[#6H2],30
O[N]([R])[R],[#0:1]-[#7](-[#8])-[#0:2],29
C=CC=CC(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])/[#6H]=[#6]\[#6]=[#6H])-[#0:2],29
O=C(C=[N][R])[N]([R])[R],[#8]=[#6](-[#7](-[#0:1])-[#0:3])-[#6H]=[#7]-[#0:2],29
C#CC(=O)[N]([R])[R],[#6]#[#6]-[#6](=[#8])-[#7](-[#0:1])-[#0:2],29
[O-][N+]([R])([R])[R],[#0:1]-[#7+](-[#8-])(-[#0:2])-[#0:3],28
[R][N]=C[O][R],[#0:2]-[#8]-[#6H]=[#7]-[#0:1],28
C=C1N=C[N]([R])C1=O,[#6H]1=[#7]-[#6](=[#6H])-[#6](=[#8])-[#7]-1-[#0:1],28
O=[C]([R])C(=CO)C(=O)[N]([R])[R],[#0:1]-[#6](=[#8])-[#6](-[#6](-[#7](-[#0:2])-[#0:3])=[#8])=[#6H]-[#8],27
OC=[N][R],[#6H](-[#8])=[#7]-[#0:1],27
C=C([O][R])[C](=O)[R],[#0:2]-[#8]-[#6](=[#6H])-[#6](=[#8])-[#0:1],27
C=C(C#N)C(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](-[#6]#[#7])=[#6H])-[#0:2],27
C=C[NH][R],[#6H]=[#6]-[#7]-[#0:1],26
[Oar+],[#0],26
[R][Se][R],[#0:1]-[Se]-[#0:2],26
O=C(C([N]([R])[C](=O)[R])[N]([R])[C](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#0:2])-[#6H](-[#7](-[#0:3])-[#6](=[#8])-[#0:4])-[#6](=[#8])-[#7](-[#0:5])-[#0:6],26
C=NOC(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#8]-[#7]=[#6H])-[#0:2],26
O=C(C=C(C(=O)[O][R])[N]([R])[R])[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6]=[#6](/[#7](-[#0:2])-[#0:4])-[#6](=[#8])-[#8]-[#0:3],26
O=[P](O)([R])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8])-[#0:2],25
C=NN([C](=O)[R])[C](=O)[R],[#6H2]=[#7]-[#7](-[#6](=[#8])-[#0:1])-[#6](-[#0:2])=[#8],25
[R][S]C[N]([R])[R],[#0:1]-[#16]-[#6H]-[#7](-[#0:2])-[#0:3],25
O=[C]([R])O[C](=O)[R],[#0:1]-[#6](=[#8])-[#8]-[#6](=[#8])-[#0:2],24
O=[As](O)(O)[R],[#0:1]-[As](=[#8])(-[#8])-[#8],24
C=[N+]([O-])[R],[#6H]=[#7+](-[#8-])-[#0:1],24
O=C([O][R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#8]-[#0:2],24
C=CS(=O)(=O)[N]([R])[R],[#0:1]-[#7](-[#16](=[#8])(=[#8])-[#6]=[#6H])-[#0:2],24
C=N[N]([R])C(=O)[O][R],[#6H2]=[#7]-[#7](-[#6](=[#8])-[#8]-[#0:1])-[#0:2],24
C=CC=C1SC(=S)[N]([R])C1=O,[#6H]=[#6]/[#6]=[#6]1\[#16]-[#6](=[#16])-[#7](-[#0:1])-[#6]-1=[#8],24
[CH2]=[Car],[#6H]=[#6H2],24
O=[C]([Nar])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#7],24
O=[C]([R])[N]([R])C(=[N][R])[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#6](=[#7]-[#0:3])-[#7](-[#0:4])-[#0:5])-[#0:2],24
N#CC=C[N]([R])[R],[#0:1]-[#7](/[#6]=[#6H]\[#6]#[#7])-[#0:2],24
[R][Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#0:3])-[#0:4],23
C=CC=N[N]([R])[R],[#6H]=[#6]-[#6H]=[#7]-[#7](-[#0:1])-[#0:2],23
O=[C]1[R][C](=O)[N]([R])C(=O)[N]1[R],[#8]=[#6]1-[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#6](=[#8])-[#7]-1-[#0:3],23
O=[C]([R])[N]([R])N=[N][R],[#8]=[#6](-[#0:1])-[#7](-[#0:2])-[#7]=[#7]-[#0:3],23
O=[C]([R])N(C[N]([R])[R])[C](=O)[R],[#0:1]-[#7](-[#6]-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8])-[#0:4],23
O=C(O)[C](=O)[R],[#0:1]-[#6](=[#8])-[#6](=[#8])-[#8],23
O=[C]([R])C1CO1,[#6H]1(-[#6](=[#8])-[#0:1])-[#6]-[#8]-1,23
O=[C]([R])C(=O)[O][R],[#0:1]-[#6](=[#8])-[#6](=[#8])-[#8]-[#0:2],23
O=[P]([R])([R])[R],[#8]=[#15](-[#0:1])(-[#0:2])-[#0:3],23
O=[C]([R])[N]([R])[N]([R])C(=O)[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#0:3])-[#0:5])-[#0:4],23
C=CC=C[Si]([R])([R])[R],[#0:1]-[Si](-[#0:2])(-[#0:3])-[#6H]=[#6H]-[#6H]=[#6H],23
[R][N]([R])C=CC=CC=[N+]([R])[R],[#6](=[#6]\[#6H]=[#7+](-[#0:1])-[#0:2])\[#6]=[#6H]-[#7](-[#0:3])-[#0:4],22
[R][O][B]([R])[O][R],[#0:1]-[#5](-[#8]-[#0:2])-[#8]-[#0:3],22
C=NN(CO)[C](=O)[R],[#6H2]=[#7]-[#7](-[#6](=[#8])-[#0:1])-[#6H2]-[#8],22
O=C(C(=C[S][R])[O][R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](=[#6H]-[#16]-[#0:2])-[#8]-[#0:3])-[#0:4],22
C=C1C=COC1=O,[#6H]=[#6]1-[#6]=[#6]-[#8]-[#6]-1=[#8],22
O=C(c1ccc(=N[S](=O)(=O)[R])[n]([R])c1)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6]1=[#6]-[#7](-[#0:2])-[#6](=[#7]-[#16](-[#0:3])(=[#8])=[#8])-[#6]=[#6]-1)-[#0:4],22
O=[P](O)([R])[R],[#0:1]-[#15](=[#8])(-[#8])-[#0:2],22
C=NN=C1[S][R][C](=O)[N]1[R],[#6H2]=[#7]/[#7]=[#6]1\[#7](-[#6](=[#8])-[#0:1]-[#16]-1)-[#0:2],22
O=[C]([R])[N]([R])[N]([R])C(=S)[N]([R])[R],[#0:1]-[#7](-[#6](=[#16])-[#7](-[#7](-[#6](=[#8])-[#0:2])-[#0:5])-[#0:4])-[#0:3],22
[R][O][Nar],[#0:1]-[#8]-[#7],22
