label,inferred_smarts,llm_output
O=[S](=O)([R])N=[S](=O)([R])[R],O=S(=O)(*)N=S(=O)(*)*,N-sulfonyl sulfoximine
O=[C]([Nar])[N]([R])[R],O=C(n)N(*)*,heteroaryl amides
C=CO[C](=O)[R],C=COC(=O)*,enol ester
O=[N+]([O-])[N]([R])C(=[N][R])[N]([R])[R],O=[N&+]([O&-])N(*)C(=N*)N(*)*,nitroguanidine
O=C(C=C[N]([R])C=CC(=O)[O][R])[O][R],O=C(C=CN(*)C=CC(=O)O*)O*,n-linked enamine diesters
O=[S](=O)([R])[O][Na],O=S(=O)(*)O[#11],sodium sulfonate
O=C(O)C=C[C](=O)[R],O=C(O)C=CC(=O)*,beta-carbonyl acrylic acid
N#C[N]([R])[R],N#CN(*)*,cyanamide
C=C1SC(=[N][R])[N]([R])C1=O,C=C1SC(=N*)N(*)C1=O,thiazolidinone imino alkylidene
O=[C]([R])C=C[C](=O)[R],O=C(*)C=CC(=O)*,"conjugated 1,4-dicarbonyl"
C=CC=CC(=O)[O][R],C=CC=CC(=O)O*,conjugated dienoic acid
C=C([S][R])[S][R],C=C(S*)S*,geminal dithio alkene
O=[C]([R])[C](=O)[R],O=C(*)C(=O)*,13 dicarbonyl
O=C(C([S][R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C(S*)N(*)C(=O)*)N(*)*,alpha-thio-alpha-amino diamide
O=[S]([R])N=[S](=O)([R])[R],O=S(*)N=S(=O)(*)*,sulfonimidamide
C=CBr,C=CBr,vinyl bromides
O=C([O][R])[N]([R])C[N]([R])[R],O=C(O*)N(*)CN(*)*,tertiary aminomethyl carbamate
O[B](O)[R],OB(O)*,boronic acid
O=[C]([R])[N]([R])C(=O)[O][R],O=C(*)N(*)C(=O)O*,n-acylcarbamate
C=CC=CC=C,C=CC=CC=C,polyene
[R][N]([R])C=CC=CC=CC=[N+]([R])[R],*N(*)C=CC=CC=CC=[N&+](*)*,cationic polyene chain with terminal nitrogens
C=C=C,C=C=C,non-amide primary secondary amine
O[N]([R])[R],ON(*)*,hydroxylamines
C=CC=CC(=O)[N]([R])[R],C=CC=CC(=O)N(*)*,dienamides
O=C(C=[N][R])[N]([R])[R],O=C(C=N*)N(*)*,alpha imino amide
C#CC(=O)[N]([R])[R],C#CC(=O)N(*)*,alkyne amide
[O-][N+]([R])([R])[R],[O&-][N&+](*)(*)*,tertiary amine oxide
[R][N]=C[O][R],*N=CO*,imidate
C=C1N=C[N]([R])C1=O,C=C1N=CN(*)C1=O,alkylidene imidazolone
O=[C]([R])C(=CO)C(=O)[N]([R])[R],O=C(*)C(=CO)C(=O)N(*)*,heterocyclic enol-acyl amide
OC=[N][R],OC=N*,imidate
C=C([O][R])[C](=O)[R],C=C(O*)C(=O)*,enol ester
C=C(C#N)C(=O)[N]([R])[R],C=C(C#N)C(=O)N(*)*,beta cyano acrylamides
C=C[NH][R],C=C[N&H1]*,enamine
[Oar+],[o&+],oxonium
[R][Se][R],*[#34]*,selenium
O=C(C([N]([R])[C](=O)[R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C(N(*)C(=O)*)N(*)C(=O)*)N(*)*,alpha diamido substituted amide
C=NOC(=O)[N]([R])[R],C=NOC(=O)N(*)*,oxime carbamate
O=C(C=C(C(=O)[O][R])[N]([R])[R])[O][R],O=C(C=C(C(=O)O*)N(*)*)O*,2-aminobutenedioate
O=[P](O)([R])[O][R],O=P(O)(*)O*,phosphoric acid
C=NN([C](=O)[R])[C](=O)[R],C=NN(C(=O)*)C(=O)*,diacyl hydrazone
[R][S]C[N]([R])[R],*SCN(*)*,thiocyanates
O=[C]([R])O[C](=O)[R],O=C(*)OC(=O)*,anhydride
O=[As](O)(O)[R],O=[#33](O)(O)*,arsonic acid
C=[N+]([O-])[R],C=[N&+]([O&-])*,imino oxide
O=C([O][R])[O][R],O=C(O*)O*,carbonate
C=CS(=O)(=O)[N]([R])[R],C=CS(=O)(=O)N(*)*,alkenyl sulfonamide
C=N[N]([R])C(=O)[O][R],C=NN(*)C(=O)O*,carbazate hydrazone
C=CC=C1SC(=S)[N]([R])C1=O,C=CC=C1SC(=S)N(*)C1=O,diene rhodanine
[CH2]=[Car],[C&H2]=c,aromatic methylidene
O=[C]([Nar])[O][R],O=C(n)O*,azole carboxylate
O=[C]([R])[N]([R])C(=[N][R])[N]([R])[R],O=C(*)N(*)C(=N*)N(*)*,"alpha,beta-unsaturated nitrile"
N#CC=C[N]([R])[R],N#CC=CN(*)*,enaminonitrile
[R][Si]([R])([R])[R],*[#14](*)(*)*,silicon tetrahedral
C=CC=N[N]([R])[R],C=CC=NN(*)*,ene hydrazone
O=[C]1[R][C](=O)[N]([R])C(=O)[N]1[R],O=C1*C(=O)N(*)C(=O)N1*,barbiturate core
O=[C]([R])[N]([R])N=[N][R],O=C(*)N(*)N=N*,n-diazenyl carbonyl
O=[C]([R])N(C[N]([R])[R])[C](=O)[R],O=C(*)N(CN(*)*)C(=O)*,aminomethyl diamide
O=C(O)[C](=O)[R],O=C(O)C(=O)*,alpha keto acid
O=[C]([R])C1CO1,O=C(*)C1CO1,epoxide carbonyl
O=[C]([R])C(=O)[O][R],O=C(*)C(=O)O*,alpha keto acid
O=[P]([R])([R])[R],O=P(*)(*)*,phosphoryl group
O=[C]([R])[N]([R])[N]([R])C(=O)[N]([R])[R],O=C(*)N(*)N(*)C(=O)N(*)*,acyl hydrazine urea
C=CC=C[Si]([R])([R])[R],C=CC=C[#14](*)(*)*,butadienyl silane
[R][N]([R])C=CC=CC=[N+]([R])[R],*N(*)C=CC=CC=[N&+](*)*,amino pentadienyl iminium
[R][O][B]([R])[O][R],*OB(*)O*,boronate
C=NN(CO)[C](=O)[R],C=NN(CO)C(=O)*,n-hydroxymethyl n-acyl hydrazone
O=C(C(=C[S][R])[O][R])[N]([R])[R],O=C(C(=CS*)O*)N(*)*,carboxamide with enol vinyl sulfide
C=C1C=COC1=O,C=C1C=COC1=O,3 methylene furanone
O=C(c1ccc(=N[S](=O)(=O)[R])[n]([R])c1)[N]([R])[R],O=C(c1ccc(=NS(=O)(=O)*)n(*)c1)N(*)*,pyridine sulfonylimino carboxamide
O=[P](O)([R])[R],O=P(O)(*)*,phosphonic acid
C=NN=C1[S][R][C](=O)[N]1[R],C=NN=C1S*C(=O)N1*,2-hydrazonothiazolidin-4-one
O=[C]([R])[N]([R])[N]([R])C(=S)[N]([R])[R],O=C(*)N(*)N(*)C(=S)N(*)*,thiosemicarbazide
[R][O][Nar],*On,on bond
O=C(O)C=CC(=O)[N]([R])[R],O=C(O)C=CC(=O)N(*)*,unsaturated amide carboxylic acid
O=C[O][R],O=CO*,carboxylic acid or ester
C=CC(=O)[N]([R])C(=S)[N]([R])[R],C=CC(=O)N(*)C(=S)N(*)*,acryloyl thiourea
O=[S](=O)([O-])[R],O=S(=O)([O&-])*,sulfonate
C=C[N+](=O)[O-],C=C[N&+](=O)[O&-],nitronate group
O=C1[S][R][C](=O)[N]1[R],O=C1S*C(=O)N1*,"thiazolidine-2,4-dione"
O=[C]([R])N=[S](=O)([R])[R],O=C(*)N=S(=O)(*)*,n-acyl sulfoximine
O=[C]([R])C=C[N]([R])[C](=O)[R],O=C(*)C=CN(*)C(=O)*,maleimide-like
C=C1C(=O)[N]([R])C(=S)[N]1[R],C=C1C(=O)N(*)C(=S)N1*,5-ylidene-2-thiohydantoin
O=C(C=C[O][R])[O][R],O=C(C=CO*)O*,beta alkoxy acrylate
O=[C]([R])ON([C](=O)[R])[C](=O)[R],O=C(*)ON(C(=O)*)C(=O)*,hydroxyimide ester
C=CC=CC=C([S][R])[N]([R])[R],C=CC=CC=C(S*)N(*)*,benzothiophene core
O=S(=O)(O)[O][R],O=S(=O)(O)O*,sulfate
O=[C]([R])C=C[N]([R])[N]([R])[C](=O)[R],O=C(*)C=CN(*)N(*)C(=O)*,enone hydrazide
C=CC=O,C=CC=O,"α, β-unsaturated aldehyde"
O=[C]([R])N=C([N]([R])[R])[N]([R])[R],O=C(*)N=C(N(*)*)N(*)*,acyl guanidine
O=[C]([R])[N]([R])OC[O][R],O=C(*)N(*)OCO*,carbonyl n acetal
O=[C]1[R][S](=O)C[N]1[R],O=C1*S(=O)CN1*,1-oxo thiazolidin-4-one
O=P(O)([O][R])[O][R],O=P(O)(O*)O*,hydrogen phosphate
O=[S](=O)([R])[N]([R])C[S][R],O=S(=O)(*)N(*)CS*,sulfonamide methyl thioether
[R][P]([R])[R],*P(*)*,phosphine
O=[S](=O)([R])[N]([R])C[N]([R])[R],O=S(=O)(*)N(*)CN(*)*,sulfonyl methylene diamine
N#[N+][R],N#[N&+]*,diazonium
C=CN1C[N]([R])C(=O)[N]1[R],C=CN1CN(*)C(=O)N1*,allyl diazetidinone
O=[C](Cl)[R],O=C(Cl)*,acid chloride
C=C1C=CC(=O)O1,C=C1C=CC(=O)O1,5-alkylidenefuran-2-one
O[B]([R])[O][R],OB(*)O*,boronic acid
O=[S](=O)([R])[N]([R])[N]([R])[R],O=S(=O)(*)N(*)N(*)*,sulfonyl hydrazide
O=C(C(=C[N]([R])[R])[S](=O)(=O)[R])[N]([R])[R],O=C(C(=CN(*)*)S(=O)(=O)*)N(*)*,enamino sulfonyl acetamide
O=[C]1[R][N]([N]([R])[C](=O)[R])C(=O)[N]1[R],O=C1*N(N(*)C(=O)*)C(=O)N1*,n-substituted hydantoin carbonyl
C=C(C#N)[C](=O)[R],C=C(C#N)C(=O)*,cyano carbonyl alkene
O=C(C(=O)[N]([R])[R])C(O)[O][R],O=C(C(=O)N(*)*)C(O)O*,oxoamide carboxylic ester
C=NO[C](=O)[R],C=NOC(=O)*,oxime ester
O=C1C(Cl)=C([N]([R])[R])C(=O)[N]1[R],O=C1C(Cl)=C(N(*)*)C(=O)N1*,"3 chloro 4 amino pyrrole 2,5 dione"
O=[C]1[R][N]([C](=O)[R])C[N]1[R],O=C1*N(C(=O)*)CN1*,n acyl imidazolidinone
[OH][Nar],[O&H1]n,n-hydroxy
O=[N][R],O=N*,nitroso
C=C1SC([N]([R])[R])=NC1=O,C=C1SC(N(*)*)=NC1=O,2 amino 5 alkylidene thiazol 4 one
C=C1C=C[N]([R])C1=O,C=C1C=CN(*)C1=O,alkylidene pyrrolone
O=C([N]([R])[R])[N]([R])[Nar],O=C(N(*)*)N(*)n,n-heteroaryl amino amide
O=[C]1[R][N]([R])C=N[N]1[R],O=C1*N(*)C=NN1*,triazolone
C=N[N]([R])P(=O)([O][R])[O][R],C=NN(*)P(=O)(O*)O*,hydrazone phosphonate
O=C([N]([R])[R])[N]([R])C[O][R],O=C(N(*)*)N(*)CO*,hydroxyalkyl or carbamate urea
O=[C]1C=C[O][R]1,O=C1C=CO*1,unsaturated five-membered lactone or lactam
[R][P+]([R])([R])[R],*[P&+](*)(*)*,phosphonium ion
[R][S+]([R])[R],*[S&+](*)*,sulfonium salt
OC(=[N][R])[N]([R])[R],OC(=N*)N(*)*,imidate
C=COC([O][R])[C](=O)[R],C=COC(O*)C(=O)*,open chain furanone
O=P([O][Na])([O][Na])[O][R],O=P(O[#11])(O[#11])O*,disodium phosphate
C=N[N]([R])C(=[N][R])[S][R],C=NN(*)C(=N*)S*,thioimidoyl hydrazone
C=CC=CC(=O)O,C=CC=CC(=O)O,conjugated dienoic acid
O=C(C=COCOC[O][R])[O][R],O=C(C=COCOCO*)O*,vinyl polyether ester
S=C=[N][R],S=C=N*,isothiocyanate
C=CF,C=CF,aryl halide
O=[C]([R])N1CSC([N]([R])[C](=O)[R])=N1,O=C(*)N1CSC(N(*)C(=O)*)=N1,"1,3,4-thiadiazole n-acyl c-amide"
C=CC=CC(=O)C=CC=C,C=CC=CC(=O)C=CC=C,cross-conjugated ketone
O=C1C=C([N]([R])[R])C(=O)[N]1[R],O=C1C=C(N(*)*)C(=O)N1*,substituted 3-amino maleimide
C=C[Si]([R])([R])[R],C=C[#14](*)(*)*,vinylsilane
[O-][Cl+3]([O-])([O-])[O-],[O&-][Cl&+3]([O&-])([O&-])[O&-],perchlorates
O=C(C=C[N]([R])C(=S)[N]([R])[R])[N]([R])[R],O=C(C=CN(*)C(=S)N(*)*)N(*)*,thiocarbonyl enamine amide
C=[CH][Nar],C=[C&H1]n,n vinyl azole
O=C([O][R])[N]([R])C[O][R],O=C(O*)N(*)CO*,n hydroxymethyl carbamate
C=N[N]([R])C(=[N][R])[N]([R])[R],C=NN(*)C(=N*)N(*)*,guanylhydrazone
[R][N]=C([N]([R])[R])[N]([R])C(=[N][R])[N]([R])[R],*N=C(N(*)*)N(*)C(=N*)N(*)*,biguanide
C=C(C#N)C(=O)O,C=C(C#N)C(=O)O,cyanoacrylate
O=[C]([R])N1COC=N1,O=C(*)N1COC=N1,"1,3,4-oxadiazole amide"
O=C(C1SC([N]([R])[C](=O)[R])=NN1[C](=O)[R])[N]([R])[R],O=C(C1SC(N(*)C(=O)*)=NN1C(=O)*)N(*)*,acetyl spirothiadiazole imide
O=[C]([R])[N]([R])C(=O)[N]([R])C[O][R],O=C(*)N(*)C(=O)N(*)CO*,acyl urea ether
O=[C]([R])[N]([R])[N]([R])[S](=O)(=O)[R],O=C(*)N(*)N(*)S(=O)(=O)*,acyl sulfonyl hydrazide
[N-]=[N+]=NC[O][R],[N&-]=[N&+]=NCO*,azido carbon oxygen
O=P(O)(O)OP(=O)(O)OP(=O)(O)[O][R],O=P(O)(O)OP(=O)(O)OP(=O)(O)O*,triphosphate chain
O=[As](O)([R])[R],O=[#33](O)(*)*,arsenic acid
[R][N]([R])C1=NC[N]([R])C([N]([R])[R])=N1,*N(*)C1=NCN(*)C(N(*)*)=N1,46 diamino triazine nitrogen substituted
O=[C]([R])[N]([R])N([C](=O)[R])[C](=O)[R],O=C(*)N(*)N(C(=O)*)C(=O)*,triacyl hydrazine
[R][N]=C([O][R])[N]([R])[R],*N=C(O*)N(*)*,carbamimidate
C=C1C=CC=[N+]1[B-](F)(F)[Nar],C=C1C=CC=[N&+]1[B&-](F)(F)n,vinyl pyrrolium difluoroboron azine
[R][O]C([O][R])[O][R],*OC(O*)O*,geminal three oxygens
O=[C]([R])C=C[O][R],O=C(*)C=CO*,vinylogous ester
O=C(C=C[N]([R])[C](=O)[R])[O][R],O=C(C=CN(*)C(=O)*)O*,acyl enamino acrylate
C=C1SC(=S)N([N]([R])[C](=O)[R])C1=O,C=C1SC(=S)N(N(*)C(=O)*)C1=O,rhodanine hydrazide
O=C1C([N]([R])[C](=O)[R])OC(O)[N]1[R],O=C1C(N(*)C(=O)*)OC(O)N1*,hydroxy oxazolactam n amide
O=C1C=CC(O)O1,O=C1C=CC(O)O1,2-hydroxyfuranones
O=C(N=C([N]([R])[R])[N]([R])C(=O)[O][R])[O][R],O=C(N=C(N(*)*)N(*)C(=O)O*)O*,carbamimidoyl dicarbamate
O=C([O][R])C1CO1,O=C(O*)C1CO1,oxirane carboxylic acid
O=[C]([R])OCO[C](=O)[R],O=C(*)OCOC(=O)*,acylal
C=CI,C=CI,vinyl iodide
O=C1C(=C[N]([R])[R])C=N[N]1[R],O=C1C(=CN(*)*)C=NN1*,pyrazolone enaminone
C=C1C(=O)[N]([R])C(=O)[N]([R])C1=O,C=C1C(=O)N(*)C(=O)N(*)C1=O,barbiturate alkylidene
